year,title,binary,budget,domgross,intgross,totalgross
2013,World War Z,FAIL,190000000,202359711,539559711,741919422
2012,Abraham Lincoln: Vampire Hunter,FAIL,67500000,37519139,115119139,152638278
2012,Act of Valor,FAIL,12000000,70012847,82497035,152509882
2012,Amour,FAIL,9700000,6738954,25915719,32654673
2012,Anna Karenina,FAIL,49000000,12816367,70735540,83551907
2012,Argo,PASS,44500000,136025503,221300694,357326197
2012,Battleship,FAIL,209000000,65235400,304142720,369378120
2012,Beasts of the Southern Wild,FAIL,1800000,12795746,21080058,33875804
2012,Blue Like Jazz,PASS,1200000,595018,595018,1190036
2012,Brave,PASS,185000000,237282182,554606532,791888714
2012,Bullet to the Head,FAIL,55000000,9489829,13561515,23051344
2012,Chernobyl Diaries,FAIL,1000000,18119640,38390020,56509660
2012,Chronicle,FAIL,12000000,64575175,127075175,191650350
2012,Cloud Atlas,PASS,102000000,27108272,126018564,153126836
2012,Contraband,PASS,25000000,66528000,98406855,164934855
2012,Django Unchained,FAIL,100000000,162805434,425373688,588179122
2012,Flight,FAIL,31000000,93772375,161772375,255544750
2012,Frankenweenie,FAIL,39000000,35287788,81150788,116438576
2012,Hannibal,PASS,87000000,165092266,350100280,515192546
2012,Hotel Transylvania,PASS,85000000,148313048,359222014,507535062
2012,Jack Reacher,FAIL,60000000,80070736,217370736,297441472
2012,Jagten,FAIL,3450000,687185,687185,1374370
2012,John Carter,PASS,275000000,73058679,282778100,355836779
2012,Killing Them Softly,FAIL,15000000,14945541,37238774,52184315
2012,Les Miserables,PASS,65000000,148809770,442022894,590832664
2012,Life of Pi,FAIL,120000000,124987022,607987022,732974044
2012,Lincoln,PASS,65000000,182207973,273000960,455208933
2012,Madagascar 3: Europe&#39;s Most Wanted,FAIL,145000000,216391482,746921271,963312753
2012,Men in Black III,FAIL,215000000,179020854,624821154,803842008
2012,Mirror Mirror,FAIL,85000000,64935167,168611991,233547158
2012,Moonrise Kingdom,PASS,16000000,45512466,64012466,109524932
2012,Much Ado About Nothing,FAIL,8000000,22549338,22549338,45098676
2012,One for the Money,PASS,42000000,26414527,36197221,62611748
2012,Paranormal Activity 4,PASS,5000000,53900335,142793842,196694177
2012,ParaNorman,FAIL,60000000,56003051,108159011,164162062
2012,Parental Guidance,PASS,25000000,77267296,120168633,197435929
2012,People Like Us,PASS,16000000,12431792,12431792,24863584
2012,Pitch Perfect,PASS,17000000,65001093,115331177,180332270
2012,Premium Rush,PASS,35000000,20275446,31393201,51668647
2012,Red Dawn,FAIL,65000000,44806783,48164150,92970933
2012,Red Tails,FAIL,58000000,49876377,50365498,100241875
2012,Rise of the Guardians,FAIL,145000000,103412758,306900902,410313660
2012,Rock of Ages,PASS,70000000,38518613,50118613,88637226
2012,Safe,FAIL,33000000,17142080,41495213,58637293
2012,Safety Not Guaranteed,PASS,750000,4010957,4413188,8424145
2012,Seven Psychopaths,FAIL,13500000,15024049,23492318,38516367
2012,Silent Hill: Revelation 3D,PASS,20000000,17530219,47944599,65474818
2012,Silver Linings Playbook,PASS,21000000,132092958,227317397,359410355
2012,Sinister,FAIL,3000000,48086903,87727807,135814710
2012,Skyfall,FAIL,200000000,304360277,1108694081,1413054358
